Date and Time,input_2,input_1,in_1_calculated
2020-04-13 20:26:01+02:00,10.836,14.001,
2020-04-13 20:29:02+02:00,11.678,14.801,
2020-04-13 20:32:02+02:00,9.861,14.201,
2020-04-13 20:35:04+02:00,11.74,15.401,
2020-04-13 20:38:04+02:00,10.74,15.401,
2020-04-13 20:41:05+02:00,8.638,18.001,
2020-04-13 20:44:05+02:00,9.804,18.201,
2020-04-13 20:47:05+02:00,9.813,18.801,
2020-04-13 20:50:05+02:00,10.247,17.801,
2020-04-13 20:53:06+02:00,9.349,19.101,
2020-04-13 20:56:06+02:00,9.429,17.501,
2020-04-13 20:59:07+02:00,10.779,16.901,
2020-04-13 21:02:07+02:00,11.608,17.901,
2020-04-13 21:05:07+02:00,8.843,19.901,
2020-04-13 21:08:07+02:00,10.142,18.901,
2020-04-13 21:11:08+02:00,11.414,19.501,
2020-04-13 21:14:09+02:00,11.304,19.201,
2020-04-13 21:17:09+02:00,9.255,17.401,
2020-04-13 21:20:10+02:00,9.001,19.501,
2020-04-13 21:23:10+02:00,9.063,16.701,
2020-04-13 21:26:10+02:00,10.772,16.901,
2020-04-13 21:29:11+02:00,10.414,17.101,
2020-04-13 21:32:12+02:00,9.154,17.401,
2020-04-13 21:35:12+02:00,9.473,18.401,
2020-04-13 21:38:12+02:00,8.138,18.001,
2020-04-13 21:41:12+02:00,10.442,18.001,
2020-04-13 21:44:13+02:00,9.417,19.001,
2020-04-13 21:47:13+02:00,8.334,20.001,
2020-04-13 21:50:13+02:00,11.088,19.001,
2020-04-13 21:53:13+02:00,8.598,19.401,
2020-04-13 21:56:13+02:00,10.595,19.001,
2020-04-13 21:59:14+02:00,11.873,19.601,
