Date and Time,input_1,in_1_calculated
2020-04-11 14:01:05+02:00,11.659,247.094
2020-04-11 14:04:06+02:00,12.059,244.019
2020-04-11 14:07:07+02:00,12.959,240.944
2020-04-11 14:10:07+02:00,12.559,244.019
2020-04-11 14:13:07+02:00,14.759,240.944
2020-04-11 14:16:07+02:00,13.959,234.794
2020-04-11 14:19:08+02:00,14.959,225.569
2020-04-11 14:22:08+02:00,15.959,225.569
2020-04-11 14:25:08+02:00,13.959,234.794
2020-04-11 14:28:08+02:00,13.359,247.094
2020-04-11 14:31:10+02:00,11.359,216.344
2020-04-11 14:34:11+02:00,12.959,231.719
2020-04-11 14:37:11+02:00,13.759,250.169
2020-04-11 14:40:11+02:00,14.359,237.869
2020-04-11 14:43:11+02:00,15.759,247.094
2020-04-11 14:46:11+02:00,14.159,244.019
2020-04-11 14:49:12+02:00,15.959,247.094
2020-04-11 14:52:12+02:00,16.359,234.794
2020-04-11 14:55:12+02:00,13.959,247.094
2020-04-11 14:58:12+02:00,15.359,217.882
2020-04-11 15:01:12+02:00,16.959,211.732
2020-04-11 15:04:14+02:00,16.459,220.957
2020-04-11 15:07:14+02:00,16.259,233.257
2020-04-11 15:10:14+02:00,18.659,187.132
2020-04-11 15:13:14+02:00,19.059,202.507
2020-04-11 15:16:15+02:00,19.959,205.582
2020-04-11 15:19:16+02:00,19.559,202.507
2020-04-11 15:22:16+02:00,16.959,78.1075
2020-04-11 15:25:16+02:00,15.959,59.6575
2020-04-11 15:28:16+02:00,17.159,50.4325
2020-04-11 15:31:16+02:00,15.959,65.8075
2020-04-11 15:34:17+02:00,14.559,31.9825
2020-04-11 15:37:17+02:00,16.159,44.2825
2020-04-11 15:40:17+02:00,16.559,62.7325
2020-04-11 15:43:17+02:00,17.559,44.2825
2020-04-11 15:46:17+02:00,12.759,50.4325
2020-04-11 15:49:18+02:00,14.359,56.5825
2020-04-11 15:52:18+02:00,12.959,50.4325
2020-04-11 15:55:18+02:00,13.759,13.5325
2020-04-11 15:58:18+02:00,14.559,44.2825
2020-04-11 16:01:19+02:00,14.359,13.5325
