Date and Time,input_1,in_8_calculated
2020-04-12 22:53:04+02:00,19.811,20.0
2020-04-12 22:56:04+02:00,19.611,20.0
2020-04-12 22:59:04+02:00,19.411,20.0
2020-04-12 23:02:04+02:00,19.611,20.0
2020-04-12 23:05:05+02:00,19.411,20.0
2020-04-12 23:08:05+02:00,19.011,20.0
2020-04-12 23:11:05+02:00,18.411,20.0
2020-04-12 23:14:05+02:00,18.411,20.0
2020-04-12 23:17:05+02:00,19.011,20.0
2020-04-12 23:20:06+02:00,19.811,20.0
2020-04-12 23:23:06+02:00,17.811,20.0
2020-04-12 23:26:06+02:00,18.811,20.0
2020-04-12 23:29:06+02:00,20.011,20.0
2020-04-12 23:32:06+02:00,19.211,20.0
2020-04-12 23:35:07+02:00,19.811,20.0
2020-04-12 23:38:07+02:00,19.611,20.0
2020-04-12 23:41:07+02:00,19.811,20.0
2020-04-12 23:44:07+02:00,19.011,20.0
2020-04-12 23:47:07+02:00,19.811,20.0
2020-04-12 23:50:09+02:00,17.911,20.0
2020-04-12 23:53:09+02:00,17.511,20.0
2020-04-12 23:56:09+02:00,18.111,20.0
2020-04-12 23:59:09+02:00,18.911,20.0
2020-04-13 00:02:09+02:00,15.911,20.0
2020-04-13 00:05:10+02:00,16.911,20.0
2020-04-13 00:08:10+02:00,17.111,20.0
2020-04-13 00:11:10+02:00,16.911,20.0
2020-04-13 00:14:55+02:00,8.82,20.0
2020-04-13 00:17:56+02:00,7.62,20.0
2020-04-13 00:20:56+02:00,7.02,20.3469
2020-04-13 00:23:56+02:00,8.02,20.4784
2020-04-13 00:26:56+02:00,5.82,20.5231
2020-04-13 00:29:56+02:00,6.62,20.4269
2020-04-13 00:32:57+02:00,7.82,20.4163
2020-04-13 00:35:57+02:00,6.62,20.8659
2020-04-13 00:38:57+02:00,7.02,20.6437
2020-04-13 00:41:57+02:00,7.42,20.6575
2020-04-13 00:44:57+02:00,7.02,20.8234
2020-04-13 00:47:58+02:00,4.62,20.3675
2020-04-13 00:50:58+02:00,6.62,21.2491
2020-04-13 00:53:58+02:00,4.62,21.1828
2020-04-13 00:56:59+02:00,5.32,20.4125
2020-04-13 01:00:00+02:00,6.12,20.8147
2020-04-13 01:03:00+02:00,5.92,20.8947
2020-04-13 01:06:00+02:00,6.12,21.2853
2020-04-13 01:09:01+02:00,6.82,21.0209
2020-04-13 01:12:01+02:00,7.02,20.6787
2020-04-13 01:15:02+02:00,9.02,21.1612
2020-04-13 01:18:02+02:00,7.22,21.2475
2020-04-13 01:21:02+02:00,7.82,20.8834
2020-04-13 01:24:02+02:00,5.02,20.7225
2020-04-13 01:27:02+02:00,6.02,20.4144
2020-04-13 01:30:03+02:00,7.02,21.3753
2020-04-13 01:33:03+02:00,7.62,20.3597
2020-04-13 01:36:03+02:00,6.02,21.2634
2020-04-13 01:39:03+02:00,4.02,20.8103
2020-04-13 01:42:03+02:00,5.22,21.0503
2020-04-13 01:45:04+02:00,6.02,21.3128
2020-04-13 01:48:04+02:00,5.42,21.31
2020-04-13 01:51:04+02:00,6.42,21.1469
2020-04-13 01:54:04+02:00,5.82,20.3259
2020-04-13 01:57:04+02:00,5.42,21.0972
2020-04-13 02:02:59+02:00,4.82,21.3409
2020-04-13 02:05:59+02:00,5.22,21.2806
2020-04-13 02:08:59+02:00,5.02,21.1972
2020-04-13 02:12:00+02:00,4.62,20.9825
2020-04-13 02:15:00+02:00,4.42,20.6134
2020-04-13 02:18:00+02:00,5.42,21.3997
2020-04-13 02:21:00+02:00,5.82,21.3291
2020-04-13 02:24:00+02:00,7.02,21.1791
2020-04-13 02:27:01+02:00,7.62,20.5656
2020-04-13 02:30:01+02:00,9.02,21.0006
2020-04-13 02:33:01+02:00,8.82,20.98
2020-04-13 02:36:01+02:00,8.42,21.3147
2020-04-13 02:39:01+02:00,8.82,20.9616
2020-04-13 02:42:02+02:00,8.02,20.6688
2020-04-13 02:45:02+02:00,10.62,20.8641
2020-04-13 02:48:02+02:00,11.02,21.4441
2020-04-13 02:51:02+02:00,10.02,20.6203
2020-04-13 02:54:02+02:00,7.42,21.4425
2020-04-13 02:57:08+02:00,9.72,20.9556
2020-04-13 03:00:12+02:00,7.52,21.4975
2020-04-13 03:03:12+02:00,6.72,20.5603
2020-04-13 03:06:12+02:00,4.52,21.4766
2020-04-13 03:09:12+02:00,5.12,21.0763
2020-04-13 03:12:13+02:00,5.52,21.0669
2020-04-13 03:15:13+02:00,4.92,21.2437
2020-04-13 03:18:13+02:00,5.12,20.4275
2020-04-13 03:21:13+02:00,6.92,21.3978
