Date and Time,input_1,in_1_calculated
2020-04-12 22:50:34+02:00,19.611,244.019
2020-04-12 22:51:04+02:00,18.811,231.719
2020-04-12 22:51:34+02:00,19.211,237.869
2020-04-12 22:52:04+02:00,18.811,231.719
2020-04-12 22:52:34+02:00,19.011,234.794
2020-04-12 22:53:04+02:00,19.811,247.094
2020-04-12 22:53:34+02:00,19.411,240.944
2020-04-12 22:54:04+02:00,20.011,250.169
2020-04-12 22:54:34+02:00,19.811,247.094
2020-04-12 22:55:04+02:00,19.811,247.094
2020-04-12 22:55:34+02:00,19.611,244.019
2020-04-12 22:56:04+02:00,19.611,244.019
2020-04-12 22:56:34+02:00,19.811,247.094
2020-04-12 22:57:04+02:00,19.611,244.019
2020-04-12 22:57:34+02:00,19.211,237.869
2020-04-12 22:58:04+02:00,20.011,250.169
2020-04-12 22:58:34+02:00,19.211,237.869
2020-04-12 22:59:04+02:00,19.411,240.944
2020-04-12 22:59:34+02:00,19.411,240.944
2020-04-12 23:00:04+02:00,18.811,231.719
2020-04-12 23:00:34+02:00,19.011,234.794
2020-04-12 23:01:04+02:00,20.011,250.169
2020-04-12 23:01:34+02:00,20.011,250.169
2020-04-12 23:02:04+02:00,19.611,244.019
2020-04-12 23:02:34+02:00,19.211,237.869
2020-04-12 23:03:04+02:00,19.411,240.944
2020-04-12 23:03:34+02:00,19.411,240.944
2020-04-12 23:04:04+02:00,19.811,247.094
2020-04-12 23:04:35+02:00,19.411,240.944
2020-04-12 23:05:05+02:00,19.411,240.944
2020-04-12 23:05:35+02:00,19.811,247.094
2020-04-12 23:06:05+02:00,19.611,244.019
2020-04-12 23:06:35+02:00,19.811,247.094
2020-04-12 23:07:05+02:00,19.811,247.094
2020-04-12 23:07:35+02:00,19.611,244.019
2020-04-12 23:08:05+02:00,19.011,234.794
2020-04-12 23:08:35+02:00,18.411,225.569
2020-04-12 23:09:05+02:00,19.211,237.869
2020-04-12 23:09:35+02:00,19.011,234.794
2020-04-12 23:10:05+02:00,18.011,219.419
2020-04-12 23:10:35+02:00,18.211,222.494
2020-04-12 23:11:05+02:00,18.411,225.569
2020-04-12 23:11:35+02:00,19.611,244.019
2020-04-12 23:12:05+02:00,19.211,237.869
2020-04-12 23:12:35+02:00,19.211,237.869
2020-04-12 23:13:05+02:00,19.611,244.019
2020-04-12 23:13:35+02:00,19.011,234.794
2020-04-12 23:14:05+02:00,18.411,225.569
2020-04-12 23:14:35+02:00,18.211,222.494
2020-04-12 23:15:05+02:00,17.411,210.194
2020-04-12 23:15:35+02:00,17.811,216.344
2020-04-12 23:16:05+02:00,17.811,216.344
2020-04-12 23:16:35+02:00,18.811,231.719
2020-04-12 23:17:05+02:00,19.011,234.794
2020-04-12 23:17:35+02:00,19.811,247.094
2020-04-12 23:18:05+02:00,19.611,244.019
2020-04-12 23:18:35+02:00,19.611,244.019
2020-04-12 23:19:06+02:00,19.811,247.094
2020-04-12 23:19:36+02:00,20.011,250.169
2020-04-12 23:20:06+02:00,19.811,247.094
2020-04-12 23:20:36+02:00,19.811,247.094
2020-04-12 23:21:06+02:00,19.811,247.094
2020-04-12 23:21:36+02:00,19.011,234.794
2020-04-12 23:22:06+02:00,18.811,231.719
2020-04-12 23:22:36+02:00,18.011,219.419
2020-04-12 23:23:06+02:00,17.811,216.344
2020-04-12 23:23:36+02:00,18.011,219.419
2020-04-12 23:24:06+02:00,18.211,222.494
2020-04-12 23:24:36+02:00,19.411,240.944
2020-04-12 23:25:06+02:00,19.211,237.869
2020-04-12 23:25:36+02:00,19.011,234.794
2020-04-12 23:26:06+02:00,18.811,231.719
2020-04-12 23:26:36+02:00,18.811,231.719
2020-04-12 23:27:06+02:00,19.211,237.869
2020-04-12 23:27:36+02:00,19.611,244.019
2020-04-12 23:28:06+02:00,19.411,240.944
2020-04-12 23:28:36+02:00,19.611,244.019
2020-04-12 23:29:06+02:00,20.011,250.169
2020-04-12 23:29:36+02:00,20.011,250.169
2020-04-12 23:30:06+02:00,19.411,240.944
2020-04-12 23:30:36+02:00,19.411,240.944
2020-04-12 23:31:06+02:00,19.211,237.869
2020-04-12 23:31:36+02:00,19.011,234.794
2020-04-12 23:32:06+02:00,19.211,237.869
2020-04-12 23:32:36+02:00,19.411,240.944
2020-04-12 23:33:06+02:00,19.411,240.944
2020-04-12 23:33:36+02:00,19.611,244.019
2020-04-12 23:34:07+02:00,19.611,244.019
2020-04-12 23:34:37+02:00,20.011,250.169
2020-04-12 23:35:07+02:00,19.811,247.094
2020-04-12 23:35:37+02:00,19.411,240.944
2020-04-12 23:36:07+02:00,19.611,244.019
2020-04-12 23:36:37+02:00,19.411,240.944
2020-04-12 23:37:07+02:00,19.611,244.019
2020-04-12 23:37:37+02:00,20.011,250.169
2020-04-12 23:38:07+02:00,19.611,244.019
2020-04-12 23:38:37+02:00,19.411,240.944
2020-04-12 23:39:07+02:00,19.211,237.869
2020-04-12 23:39:37+02:00,19.411,240.944
2020-04-12 23:40:07+02:00,19.011,234.794
2020-04-12 23:40:37+02:00,19.811,247.094
2020-04-12 23:41:07+02:00,19.811,247.094
2020-04-12 23:41:37+02:00,19.811,247.094
2020-04-12 23:42:07+02:00,19.811,247.094
2020-04-12 23:42:37+02:00,19.611,244.019
2020-04-12 23:43:07+02:00,20.011,250.169
2020-04-12 23:43:37+02:00,19.211,237.869
2020-04-12 23:44:07+02:00,19.011,234.794
2020-04-12 23:44:37+02:00,19.011,234.794
2020-04-12 23:45:07+02:00,19.211,237.869
2020-04-12 23:45:37+02:00,20.011,250.169
2020-04-12 23:46:07+02:00,19.611,244.019
2020-04-12 23:46:37+02:00,19.411,240.944
2020-04-12 23:47:07+02:00,19.811,247.094
2020-04-12 23:47:37+02:00,18.611,228.644
2020-04-12 23:48:07+02:00,18.011,219.419
2020-04-12 23:48:38+02:00,18.211,222.494
2020-04-12 23:49:08+02:00,17.211,207.119
2020-04-12 23:49:38+02:00,17.611,213.269
2020-04-12 23:50:09+02:00,17.911,217.882
2020-04-12 23:50:39+02:00,16.711,199.432
2020-04-12 23:51:09+02:00,16.511,196.357
2020-04-12 23:51:39+02:00,17.111,205.582
2020-04-12 23:52:09+02:00,17.711,214.807
2020-04-12 23:52:39+02:00,17.511,211.732
